epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,127.741,1.52096,1.29287,1.58484,0.63097,0.51852,0.43031,0.21242,1.88504,2.10317,1.82831,0.00121591,0.00121591,0.00121591
43,130.625,1.46778,1.28131,1.60653,0.55001,0.48148,0.44464,0.21899,1.86171,2.09903,1.82456,0.00120491,0.00120491,0.00120491
44,133.617,1.44012,1.20092,1.49441,0.59894,0.2773,0.34603,0.15465,2.00929,2.55316,1.8488,0.00119391,0.00119391,0.00119391
45,136.567,1.25176,1.0775,1.4234,0.45242,0.37037,0.33895,0.18338,1.94833,2.35262,1.79387,0.0011829,0.0011829,0.0011829
46,139.688,1.52036,1.23443,1.63436,0.68169,0.48148,0.48661,0.21223,2.03332,2.40406,1.99466,0.0011719,0.0011719,0.0011719
47,142.672,1.33126,1.22399,1.42727,0.68747,0.48148,0.50332,0.22349,1.94866,2.08875,1.95686,0.0011609,0.0011609,0.0011609
48,145.75,1.49271,1.14397,1.51657,0.68258,0.48148,0.4736,0.22232,1.8863,1.92632,1.95434,0.0011499,0.0011499,0.0011499
49,148.714,1.21202,1.02901,1.42759,0.75773,0.44444,0.52171,0.22464,1.9442,1.94764,1.93047,0.00113889,0.00113889,0.00113889
50,151.61,1.34628,1.09037,1.50196,0.70819,0.48148,0.50944,0.20713,2.16429,2.08677,2.05126,0.00112789,0.00112789,0.00112789
51,154.536,1.36309,1.11611,1.43789,0.63183,0.51852,0.49183,0.19208,2.0736,2.17479,2.05142,0.00111689,0.00111689,0.00111689
52,157.501,1.3916,1.04918,1.50799,0.53302,0.40741,0.39488,0.18478,2.15403,2.30655,2.06406,0.00110589,0.00110589,0.00110589
53,160.344,1.34186,1.13213,1.48804,0.52538,0.48148,0.51779,0.23277,2.13593,2.03247,1.97051,0.00109489,0.00109489,0.00109489
54,163.478,1.3609,1.08684,1.41082,0.53558,0.48148,0.50948,0.20049,2.28319,1.70021,2.09601,0.00108388,0.00108388,0.00108388
55,166.356,1.26932,0.99654,1.37244,0.72598,0.59259,0.59971,0.27187,2.13531,1.64202,2.03518,0.00107288,0.00107288,0.00107288
56,169.387,1.25634,1.06279,1.33161,0.55615,0.55556,0.49591,0.26036,2.09827,1.54058,2.04724,0.00106188,0.00106188,0.00106188
57,172.071,1.26871,1.06729,1.38878,0.76402,0.51852,0.5393,0.24678,2.05251,1.52153,1.99764,0.00105088,0.00105088,0.00105088
58,174.397,1.24452,1.05002,1.34118,0.77453,0.51852,0.58185,0.22883,2.05774,1.56389,2.10571,0.00103987,0.00103987,0.00103987
59,176.821,1.29289,1.08053,1.4978,0.60453,0.59259,0.52979,0.2065,2.13158,1.67169,2.17251,0.00102887,0.00102887,0.00102887
60,179.425,1.20642,0.96787,1.42226,0.55482,0.55397,0.44042,0.20321,2.11915,1.76145,2.21197,0.00101787,0.00101787,0.00101787
61,181.784,1.2167,0.9517,1.39473,0.67967,0.59259,0.51549,0.25239,2.04974,1.72074,2.18082,0.00100687,0.00100687,0.00100687
62,184.135,1.22603,0.92929,1.37122,0.60818,0.66667,0.48314,0.25414,1.98384,1.70851,2.1875,0.000995866,0.000995866,0.000995866
63,186.44,1.15008,0.96789,1.48494,0.67583,0.62963,0.52428,0.2371,2.00223,1.66457,2.16025,0.000984864,0.000984864,0.000984864
64,188.896,1.21564,0.91009,1.42611,0.70747,0.51852,0.51331,0.22408,2.06699,1.94846,2.08049,0.000973861,0.000973861,0.000973861
65,191.279,1.2654,0.99584,1.46666,0.65105,0.59259,0.56614,0.24833,1.98159,1.82959,1.98202,0.000962859,0.000962859,0.000962859
66,193.595,1.17066,0.91451,1.3073,0.62592,0.66667,0.60665,0.26583,1.97236,1.64413,2.01317,0.000951857,0.000951857,0.000951857
67,195.841,1.11451,0.90459,1.26626,0.59913,0.66433,0.58749,0.26656,1.94944,1.51872,1.97332,0.000940855,0.000940855,0.000940855
68,198.142,1.20929,0.89403,1.35919,0.84674,0.62963,0.62197,0.29089,2.1267,1.53598,2.18378,0.000929853,0.000929853,0.000929853
69,200.451,1.186,0.91137,1.32001,0.6728,0.60963,0.63856,0.30503,2.10612,1.69107,2.14681,0.00091885,0.00091885,0.00091885
70,202.783,1.182,0.91088,1.35286,0.84937,0.55556,0.62354,0.26447,2.09339,1.86378,2.11585,0.000907848,0.000907848,0.000907848
71,205.027,1.10019,0.80278,1.27589,0.62013,0.51852,0.53904,0.26403,1.98,1.82984,2.00944,0.000896846,0.000896846,0.000896846
72,207.287,1.11328,0.81274,1.26749,0.54414,0.55556,0.54936,0.29319,1.77927,1.54698,1.8556,0.000885844,0.000885844,0.000885844
